Time String,Event String,Event data String
13-03-2025 16:14:01,Start Pre-Purge,9.627911
13-03-2025 16:14:01,Start Pre-Purge,9.729212
13-03-2025 16:14:01,Start Pre-Purge,9.830168
13-03-2025 16:14:01,Start Pre-Purge,9.929839
13-03-2025 16:14:11,Pre-Purge Completed,10.037899
13-03-2025 16:14:16,Pilot On,True
13-03-2025 16:14:22,Pilot Proved,56.122449
13-03-2025 16:14:22,Pilot Proved,63.265306
13-03-2025 16:14:22,Pilot Proved,63.265306
13-03-2025 16:14:22,Pilot Proved,63.265306
13-03-2025 16:14:22,Pilot Proved,63.265306
13-03-2025 16:14:22,Pilot Proved,63.265306
13-03-2025 16:14:22,Pilot Proved,63.265306
13-03-2025 16:14:22,Pilot Proved,63.265306
13-03-2025 16:14:22,Pilot Proved,63.265306
13-03-2025 16:14:22,Pilot Proved,63.265306
13-03-2025 16:14:22,Pilot Proved,63.265306
13-03-2025 16:14:22,Pilot Proved,63.265306
13-03-2025 16:14:24,Forced Draft Fan On,True
13-03-2025 16:14:25,Boiler Running,45.723633
13-03-2025 16:14:25,Boiler Running,50.922240
13-03-2025 16:14:25,Boiler Running,50.922240
13-03-2025 16:14:25,Boiler Running,51.956574
13-03-2025 16:14:25,Boiler Running,51.956574
Time String,Event String,Event data String
13-03-2025 16:16:52,Boiler Initialized,0
13-03-2025 16:16:55,Boiler Ready,0
13-03-2025 16:16:57,Start Pre-Purge,0.000000
13-03-2025 16:16:57,Start Pre-Purge,0.093575
13-03-2025 16:16:57,Start Pre-Purge,0.193016
13-03-2025 16:16:57,Start Pre-Purge,0.294162
13-03-2025 16:16:57,Start Pre-Purge,0.394276
13-03-2025 16:16:57,Start Pre-Purge,0.494298
13-03-2025 16:16:57,Start Pre-Purge,0.594690
13-03-2025 16:16:57,Start Pre-Purge,0.695461
13-03-2025 16:16:57,Start Pre-Purge,0.795688
13-03-2025 16:16:57,Start Pre-Purge,0.896627
13-03-2025 16:16:57,Start Pre-Purge,0.996469
13-03-2025 16:16:57,Start Pre-Purge,1.096513
13-03-2025 16:16:57,Start Pre-Purge,1.196287
13-03-2025 16:16:57,Start Pre-Purge,1.296495
13-03-2025 16:16:57,Start Pre-Purge,1.396171
13-03-2025 16:16:57,Start Pre-Purge,1.496138
13-03-2025 16:16:57,Start Pre-Purge,1.596484
13-03-2025 16:16:57,Start Pre-Purge,1.696568
13-03-2025 16:16:57,Start Pre-Purge,1.795910
13-03-2025 16:16:57,Start Pre-Purge,1.896309
13-03-2025 16:16:57,Start Pre-Purge,1.996378
13-03-2025 16:16:57,Start Pre-Purge,2.096119
13-03-2025 16:16:57,Start Pre-Purge,2.196456
13-03-2025 16:16:57,Start Pre-Purge,2.295777
13-03-2025 16:16:57,Start Pre-Purge,2.396025
13-03-2025 16:16:57,Start Pre-Purge,2.496321
13-03-2025 16:16:57,Start Pre-Purge,2.596239
13-03-2025 16:16:57,Start Pre-Purge,2.697044
13-03-2025 16:16:57,Start Pre-Purge,2.798287
13-03-2025 16:16:57,Start Pre-Purge,2.898073
13-03-2025 16:16:57,Start Pre-Purge,2.997743
